Efficiency,EMAIL,PHONE,FACETOFACE
8715.0,11,12,17
9000.0,8,13,11
9000.0,15,10,29
9510.0,8,23,5
9043.0,0,17,25
8600.0,11,18,15
9200.0,19,13,7
8431.0,22,21,22
8681.0,25,25,26
10400.0,7,23,0
10400.0,2,13,2
8704.0,29,28,19
10016.0,28,9,3
9236.0,11,10,9
9000.0,6,14,11
9200.0,19,4,15
10000.0,25,9,3
8800.0,29,29,19
8607.0,28,24,16
8621.0,18,29,19
10406.0,26,3,4
8695.0,9,26,23
9019.0,6,12,12
9734.0,3,5,11
9711.0,2,6,29
9800.0,12,5,7
9495.0,29,3,12
9400.0,22,2,25
9200.0,4,29,27
10162.0,11,0,9
8600.0,28,19,22
10800.0,1,23,0
9709.0,29,27,4
8709.0,14,10,21
8518.0,17,20,24
10157.0,3,1,11
8864.0,27,27,28
8853.0,23,20,9
9800.0,2,29,7
9035.0,22,5,24
9000.0,27,9,26
10619.0,10,7,1
9000.0,0,20,16
9086.0,11,9,28
9431.0,0,11,11
10246.0,2,0,12
8434.0,17,15,20
9600.0,4,7,10
8849.0,24,24,10
9258.0,8,21,7
8600.0,12,24,20
8693.0,9,23,25
10804.0,15,4,1
9800.0,19,23,2
11362.0,1,2,3
8716.0,19,18,29
9862.0,8,4,8
9297.0,5,5,21
8800.0,23,9,15
8600.0,8,17,20
10156.0,27,4,5
8448.0,22,20,22
8600.0,22,13,24
8848.0,7,11,16
9000.0,6,29,25
8800.0,4,18,17
8906.0,1,19,18
9600.0,16,18,3
9200.0,16,11,8
9107.0,2,15,27
9045.0,19,22,7
8521.0,26,21,23
8604.0,8,19,22
8800.0,14,13,27
8600.0,29,23,22
11016.0,2,2,4
9017.0,27,11,10
9645.0,15,0,25
10200.0,16,29,1
9903.0,9,12,3
10514.0,1,18,1
9600.0,10,23,4
9400.0,8,4,14
8800.0,11,12,15
8600.0,26,16,18
8800.0,9,20,13
10518.0,1,20,1
8800.0,19,10,14
9400.0,23,2,15
8654.0,13,14,25
8676.0,12,26,24
9400.0,7,5,12
9034.0,2,24,13
9094.0,20,4,16
10000.0,16,11,2
9200.0,6,6,17
8800.0,21,20,29
9079.0,28,23,8
8800.0,10,16,13
8800.0,23,25,11
8711.0,4,21,19
8800.0,10,11,24
9600.0,14,14,4
10451.0,6,28,1
8607.0,8,22,17
10352.0,6,13,1
8600.0,20,28,20
9800.0,3,5,11
10060.0,2,0,23
11156.0,0,0,6
9076.0,6,14,10
9000.0,27,6,23
8800.0,12,13,27
9052.0,18,4,19
9200.0,9,5,17
9300.0,25,19,5
9400.0,29,2,21
8800.0,23,12,27
8600.0,22,23,14
9000.0,19,26,9
